item count, time, free space
50, 2.06581497192, 6
50, 1.7208878994, 9
50, 2.20763492584, 7
50, 2.07302093506, 9
50, 2.70568084717, 4
50, 2.07441997528, 8
50, 3.03339219093, 10
50, 2.82319092751, 7
50, 2.3062620163, 10
50, 1.68120217323, 7
100, 3.91765904427, 12
100, 3.99459600449, 9
100, 3.75061607361, 5
100, 4.0005838871, 7
100, 3.95090508461, 2
100, 3.95829916, 8
100, 3.99765896797, 7
100, 5.36189603806, 10
100, 4.4214451313, 8
100, 4.19355511665, 8
200, 5.75058293343, 3
200, 5.70248293877, 12
200, 5.44613003731, 9
200, 5.55958294868, 11
200, 5.58222293854, 12
200, 5.57427597046, 12
200, 5.56394600868, 10
200, 5.45112419128, 11
200, 5.44521307945, 11
200, 5.49724698067, 15
500, 5.549710989, 9
500, 5.29028010368, 11
500, 5.45205903053, 12
500, 5.51293206215, 12
500, 5.56182408333, 12
500, 5.7224919796, 12
500, 5.45976805687, 8
500, 5.6821539402, 10
500, 5.71563005447, 13
500, 5.50744104385, 14
1000, 5.8964509964, 19
1000, 5.68171787262, 14
1000, 5.62436795235, 14
1000, 5.70461893082, 13
1000, 5.6825158596, 15
1000, 5.74054598808, 11
1000, 5.59874486923, 15
1000, 5.66157484055, 12
1000, 5.57890319824, 9
1000, 5.65637612343, 13